Guide	Gene	ctrl_1	ctrl_2	ctrl_3	test_1	test_2	test_3
FOXK2_+_80477661.23-P1P2_h5_Top5	FOXK2	2752	3165	2193	1651	2156	635
ANKRD42_-_82905479.23-P1P2_h5_Top5	ANKRD42	1134	1385	927	584	1078	303
PABPC5_+_90689884.23-P1P2_h5_Top5	PABPC5	1172	1519	891	807	1260	269
RBM41_+_106361846.23-P1P2_h5_Top5	RBM41	1200	2043	1083	681	1224	264
NACC1_+_13229494.23-P1P2_h5_Top5	NACC1	1748	2827	1384	1350	1813	395
ZNF181_-_35225215.23-P1P2_h5_Top5	ZNF181	1523	2427	1695	1052	1710	459
ZNF28_-_53324507.23-P1P2_h5_Top5	ZNF28	781	1098	606	459	629	196
ZNF20_+_12250960.23-P2_h5_Top5	ZNF20	2204	3458	1869	1715	2128	565
SKIV2L_+_31927098.23-P1P2_h5_Top5	SKIV2L	26	0	25	14	0	1
MED9_+_17380324.23-P1P2_h5_Top5	MED9	14	72	63	21	19	19
BCL6B_-_6926820.23-P1P2_h5_Top5	BCL6B	1008	1392	829	784	1077	227
DDX24_+_94547517.23-P1P2_h5_Top5	DDX24	27	61	12	12	17	4
KDM5C_+_53253946.23-P1P2_h5_Top5	KDM5C	1018	1274	795	750	934	239
ZNF841_+_52598992.23-P1P2_h5_Top5	ZNF841	1947	3158	1575	1718	2473	449
HIST1H2AL_-_27833096.23-ENST00000357320.2_h5_Top5	HIST1H2AL	507	918	436	296	648	128
OLIG3_-_137815153.23-P1P2_h5_Top5	OLIG3	3167	4924	2646	2904	4110	856
SETD2_-_47205505.23-P1P2_h5_Top5	SETD2	1692	2386	1343	1003	1589	441
CELF5_-_3224761.23-P1P2_h5_Supp5	CELF5	1	0	0	0	0	0
non-targeting_01147_h5_Top5	non-targeting	1141	2047	704	734	1300	242
FOXM1_+_2985938.23-P1P2_h5_Top5	FOXM1	1329	1508	978	762	1130	367
TICAM1_+_4831620.23-P1P2_h5_Top5	TICAM1	2967	4532	2358	2007	2877	719
ZNF3_-_99679336.23-P1P2_h5_Top5	ZNF3	3169	5598	2764	2281	3693	849
CSDC2_-_41957276.23-P1P2_h5_Top5	CSDC2	897	1433	980	566	989	207
SCAF1_+_50145523.23-P1P2_h5_Top5	SCAF1	1398	2024	1315	1367	2101	490
NRG1_+_32405884.23-P1P2_h5_Top5	NRG1	2534	3662	2029	1750	2689	560
LARP4_+_50794895.23-P1P2_h5_Top5	LARP4	1697	2425	1617	1306	1866	450
CDX1_+_149546724.23-P1P2_h5_Top5	CDX1	2129	2964	1620	1521	1847	489
HOXB6_+_46675533.23-P2_h5_Top5	HOXB6	3061	4353	2135	2054	2824	650
ZNF791_+_12721789.23-P1P2_h5_Top5	ZNF791	3037	2980	2221	1703	2139	562
ZNF720_+_31724679.23-P1P2_h5_Top5	ZNF720	1117	1619	1045	892	1435	241
COIL_+_55038356.23-P1P2_h5_Top5	COIL	1328	1253	881	831	1351	291
PTPN20A_-_46619564.23-ENST00000374339.3_h5_Top5	PTPN20A	1657	2180	1374	1331	1782	310
RAG2_+_36619395.23-P1P2_h5_Top5	RAG2	284	711	272	254	471	127
ERCC6L2_-_98638360.23-P1P2_h5_Top5	ERCC6L2	3019	4117	2418	2015	2543	569
PBDC1_-_75392921.23-P1P2_h5_Top5	PBDC1	551	424	378	294	393	110
SP140L_-_231191976.23-P1P2_h5_Top5	SP140L	1288	2129	894	940	1451	332
DMRT1_+_842096.23-P1P2_h5_Top5	DMRT1	2457	4103	2125	1873	2609	624
POP4_-_30097253.23-P1P2_h5_Top5	POP4	389	438	276	246	269	75
HOXB6_+_46682317.23-P1_h5_Top5	HOXB6	309	899	358	280	476	92
SOX18_+_62680495.23-P1P2_h5_Top5	SOX18	673	990	418	672	1025	186
ZSCAN2_-_85144295.23-P1P2_h5_Top5	ZSCAN2	1311	1785	1041	891	1393	326
NTN3_+_2521309.23-P1P2_h5_Top5	NTN3	2569	3960	2223	2014	2794	684
POU6F1_+_51611451.23-P1P2_h5_Top5	POU6F1	1749	2916	1549	1187	1664	448
GTF2I_+_74072153.23-P1P2_h5_Top5	GTF2I	1153	1930	856	611	990	226
SSH1_+_109251295.23-P1P2_h5_Top5	SSH1	917	960	711	607	737	182
ZNF718_-_124820.23-ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_h5_Top5	ZNF718	553	762	449	358	626	161
SMG6_+_2207007.23-P1P2_h5_Supp5	SMG6	27	35	1	15	13	47
MAEL_+_166958504.23-P1P2_h5_Top5	MAEL	547	692	458	252	440	123
ZNF268_+_133758471.23-P1P2_h5_Top5	ZNF268	1375	1833	920	840	1355	302
BPNT1_+_220263091.23-P1P2_h5_Top5	BPNT1	350	622	340	344	423	95
RFC2_+_73668706.23-P1P2_h5_Top5	RFC2	35	63	7	56	38	20
MTA1_+_105886542.23-P1P2_h5_Top5	MTA1	261	421	256	180	257	68
SETD2_-_47205192.23-P1P2_h5_Top5	SETD2	1016	1133	862	614	1080	219
EEF1D_+_144679483.23-P1P2_h5_Top5	EEF1D	2474	3702	2290	1374	2738	561
ZNF580_+_56152408.23-P1_h5_Top5	ZNF580	713	1222	669	696	758	245
